Category,Product Name,vegetable oil,canola oil,soybean oil,sunflower oil,cottonseed oil,rapeseed oil,corn oil,safflower oil,peanut oil,sesame oil,grapeseed oil,flaxseed oil,hempseed oil,pumpkin seed oil,almond oil,walnut oil,SEED_OIL_PRESENCE
Bakery,Tip Top The One White Sandwich Bread | 700g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Tip Top Spicy Fruit English Muffins | 6 pack,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Tip Top Cafe Bread Raisin Toast | 650g,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Tip Top The One White Toast Bread | 700g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Golden Crumpet Toast Bread | 700g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Tip Top The One Wholemeal Sandwich Bread | 700g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Tip Top Raisin Toast Bread | 520g,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Noshu 95% Sugar Free Banana Bread Slices | 240g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Burgen Lower Carb Sunflower & Linseed Bread | 660g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakery,La Fournee Doree Brioche Sliders 10 Pack | 200g,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Golden Crumpet Rounds Wholemeal | 6 pack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakery,Coles Crumpet Rounds 6 Pack | 300g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakery,Coles Soft White Wraps 8 pack | 360g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakery,Coles 4 Leaf Salad Mix | 200g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakery,Coles High Fibre Wholemeal Bread | 700g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Bakery Super Soft Round Rolls | 6 pack,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Devondale Moo Chocolate Flavoured Multipack Milk 200mL | 6 pack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakery,Coles Cheese & Bacon Rolls | 4 pack,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles High Fibre Multigrain Bread | 700g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles High Fibre White Sandwich Bread | 700g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Pavlova | 1 pack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakery,Wonder White Bread Wholemeal Plus Iron | 700g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Bakery Flatbread Wholemeal | 6 pack,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Bakery Flatbread White | 6 pack,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Golden Round Crumpets | 6 pack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakery,Wonder White Bread + Vitamins & Mineral | 700g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles White Bread | 650g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Tip Top Original English Muffins | 6 pack,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Turkish Rolls 4 pack | 400g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Bakery Croissants 3 Pack | 189g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakery,Coles Soft White Toast Loaf | 650g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Helga's Traditional Wholemeal Bread | 750g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Bakery Anzac Biscuits | 12 pack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakery,Coles Soft Wholemeal Sandwich Loaf | 650g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Golden Crumpet Square 6 pack | 425g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakery,Wonder White Bread + Vitamins Toast | 700g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Bakery Super Soft White Toast Loaf | 680g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Bakery Croissants 4 Pack | 168g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakery,Coles Bakery Stone Baked By Laurent Pane Di Casa | 1 each,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakery,Abbott's Bakery Light Rye Bread | 680g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Bakery Super Soft White Sandwich Loaf | 680g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Abbott's Bakery Farmhouse Wholemeal Bread | 750g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Abbott's Bakery Rustic White Bread | 700g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Abbott's Bakery Country Grains Bread | 800g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Bakery Super Soft Hamburger Rolls | 6 pack,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Bakery French Stick | 1 each,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Mighty Soft Cafe Fruit Loaf | 600g,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Wholemeal Toast Loaf | 680g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Iced Donuts | 6 pack,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Helga's Mixed Grain Bread | 850g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Bakery Cinnamon Donuts | 6 pack,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Bakery Pancakes | 5 pack,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Bakery Vegemite Scroll | 1 each,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Bakery Chocolate Chip Cookies | 12 pack,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Cinnamon Donuts | 12 pack,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Bakery Ultimate Choc Chip Cookie | 6 pack,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Coles Bakery Super Soft Hot Dog Rolls | 6 pack,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Noshu 95% Sugar Free Iced Carrot Cakes | 180g,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Burgen Soy & Linseed Bread | 700g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakery,Burgen Traditional Rye Bread | 700g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
